NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderLElbowX,LShoulderLElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
0.5869565,0.38043478,0.5706522,0.4021739,0.5380435,0.41847825,0.6195652,0.4347826,0.6902174,0.4076087,0.6086956,0.36413044,0.6902174,0.2771739,0.7554348,0.20108695,0.5652174,0.5706522,0.5597826,0.7336956,0.54891306,0.88586956,0.6304348,0.5652174,0.6467391,0.7282609,0.66847825,0.8913044,0.58152175,0.375,0.5923913,0.38043478,0.5597826,0.38043478,0.0,0.0
0.58152175,0.39130434,0.5652174,0.38043478,0.5380435,0.41847825,0.57608694,0.48913044,0.6630435,0.48913044,0.625,0.3478261,0.7336956,0.3478261,0.0,0.0,0.5706522,0.5652174,0.5597826,0.75,0.54891306,0.8804348,0.6304348,0.5706522,0.6467391,0.75,0.66847825,0.8913044,0.5706522,0.38586956,0.5869565,0.38043478,0.5380435,0.375,0.5869565,0.3423913
0.0,0.0,0.0,0.0,0.5923913,0.39130434,0.48913044,0.2771739,0.4293478,0.23913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5869565,0.35869566,0.0,0.0
0.5706522,0.3478261,0.6086956,0.38586956,0.0,0.0,0.0,0.0,0.0,0.0,0.6195652,0.38586956,0.5597826,0.4021739,0.4728261,0.2826087,0.5380435,0.5543478,0.54891306,0.7119565,0.54347825,0.88586956,0.59782606,0.5597826,0.625,0.7173913,0.6576087,0.8913044,0.5706522,0.33152175,0.57608694,0.33695653,0.0,0.0,0.5923913,0.3478261
0.5652174,0.33695653,0.5543478,0.375,0.52717394,0.39673913,0.59782606,0.41847825,0.65217394,0.35869566,0.5869565,0.35326087,0.70652175,0.3043478,0.77717394,0.25,0.5652174,0.54891306,0.5652174,0.7336956,0.54347825,0.88586956,0.6304348,0.5380435,0.63586956,0.7336956,0.6630435,0.88586956,0.5543478,0.33695653,0.5652174,0.32608697,0.5326087,0.3478261,0.0,0.0
0.57608694,0.3478261,0.5652174,0.38586956,0.5326087,0.4021739,0.5923913,0.4076087,0.6195652,0.36413044,0.61413044,0.35869566,0.72282606,0.2826087,0.79347825,0.22826087,0.5597826,0.54891306,0.5652174,0.7336956,0.54347825,0.8804348,0.625,0.5380435,0.6413044,0.7282609,0.6630435,0.88586956,0.5652174,0.3423913,0.57608694,0.33695653,0.54891306,0.35326087,0.0,0.0
0.6032609,0.3043478,0.6576087,0.35326087,0.61413044,0.35326087,0.5163044,0.26630434,0.4347826,0.2173913,0.70652175,0.35326087,0.6576087,0.4021739,0.0,0.0,0.5869565,0.57608694,0.58152175,0.6304348,0.6576087,0.9130435,0.65217394,0.5869565,0.6467391,0.7445652,0.67391306,0.9076087,0.6032609,0.28804347,0.61413044,0.29347825,0.0,0.0,0.65217394,0.29891303
0.5923913,0.3043478,0.5869565,0.4021739,0.0,0.0,0.0,0.0,0.0,0.0,0.5597826,0.39673913,0.0,0.0,0.0,0.0,0.5652174,0.5923913,0.5652174,0.7663044,0.54891306,0.9130435,0.5869565,0.5869565,0.625,0.7663044,0.6467391,0.9076087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6304348,0.33152175,0.58152175,0.38043478,0.54891306,0.39673913,0.6032609,0.45652175,0.67391306,0.41304347,0.61413044,0.36413044,0.6793478,0.35869566,0.73913044,0.3423913,0.57608694,0.59782606,0.5652174,0.7717391,0.54347825,0.90217394,0.625,0.6032609,0.6304348,0.77717394,0.6576087,0.91847825,0.625,0.3206522,0.0,0.0,0.59782606,0.3152174,0.0,0.0
0.57608694,0.3043478,0.5923913,0.35326087,0.5597826,0.3478261,0.49456522,0.25543478,0.4347826,0.21195652,0.6467391,0.35326087,0.625,0.42391303,0.0,0.0,0.5543478,0.5597826,0.5543478,0.75,0.5326087,0.90217394,0.625,0.57608694,0.6304348,0.7554348,0.6793478,0.9130435,0.5706522,0.29347825,0.5869565,0.28804347,0.5652174,0.29347825,0.59782606,0.29891303
0.5652174,0.33152175,0.61413044,0.3478261,0.5597826,0.3206522,0.48913044,0.26630434,0.41304347,0.21195652,0.6630435,0.35869566,0.6195652,0.4293478,0.5543478,0.38586956,0.54891306,0.5652174,0.54891306,0.75,0.5326087,0.8913044,0.6195652,0.58152175,0.6304348,0.7554348,0.67391306,0.9130435,0.5597826,0.3097826,0.58152175,0.3206522,0.0,0.0,0.61413044,0.3152174
0.5652174,0.33152175,0.61413044,0.35869566,0.5706522,0.3478261,0.47826087,0.26086956,0.4021739,0.20652173,0.6630435,0.35869566,0.6195652,0.4293478,0.5652174,0.39130434,0.54347825,0.5652174,0.54891306,0.75,0.5326087,0.90217394,0.6195652,0.58152175,0.63586956,0.76086956,0.67391306,0.91847825,0.5597826,0.3097826,0.58152175,0.3206522,0.0,0.0,0.61413044,0.3152174
0.0,0.0,0.5543478,0.33152175,0.54347825,0.3206522,0.0,0.0,0.0,0.0,0.57608694,0.32608697,0.66847825,0.29347825,0.6032609,0.25,0.5652174,0.5380435,0.54891306,0.70108694,0.52717394,0.875,0.5597826,0.5380435,0.54891306,0.6956522,0.5326087,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6413044,0.25,0.6304348,0.3097826,0.59782606,0.29891303,0.0,0.0,0.0,0.0,0.6467391,0.3152174,0.51086956,0.25,0.0,0.0,0.625,0.5543478,0.6413044,0.7282609,0.65217394,0.875,0.5923913,0.5543478,0.5652174,0.7445652,0.5543478,0.875,0.6413044,0.23913044,0.6576087,0.23913044,0.0,0.0,0.6630435,0.25543478
0.6902174,0.29347825,0.6467391,0.3152174,0.6086956,0.3043478,0.5217391,0.25543478,0.4456522,0.2173913,0.6086956,0.29891303,0.54891306,0.2771739,0.0,0.0,0.5869565,0.5543478,0.5543478,0.7336956,0.52717394,0.875,0.6086956,0.5543478,0.54891306,0.7282609,0.52717394,0.875,0.6847826,0.2826087,0.0,0.0,0.66847825,0.2826087,0.0,0.0
0.0,0.0,0.63586956,0.32608697,0.6793478,0.33152175,0.7663044,0.36956522,0.0,0.0,0.59782606,0.3043478,0.54347825,0.26086956,0.45108697,0.19565217,0.58152175,0.54891306,0.5543478,0.7336956,0.52717394,0.875,0.6032609,0.5543478,0.63586956,0.72282606,0.67391306,0.8967391,0.0,0.0,0.0,0.0,0.7119565,0.29347825,0.67391306,0.27173913
0.65217394,0.25,0.61413044,0.3097826,0.5706522,0.29347825,0.47826087,0.29347825,0.39673913,0.27173913,0.6576087,0.3152174,0.7336956,0.28804347,0.6902174,0.27173913,0.5869565,0.5597826,0.5652174,0.72282606,0.0,0.0,0.6086956,0.5652174,0.5543478,0.7282609,0.52717394,0.88586956,0.65217394,0.23913044,0.66847825,0.24456522,0.6304348,0.24456522,0.6630435,0.25
0.0,0.0,0.5380435,0.3152174,0.5054348,0.3206522,0.41847825,0.27173913,0.5163044,0.23369566,0.5923913,0.3043478,0.6793478,0.27173913,0.7554348,0.23913044,0.5652174,0.58152175,0.51086956,0.7663044,0.51086956,0.9076087,0.5706522,0.5923913,0.61413044,0.75,0.6304348,0.90217394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.54347825,0.3152174,0.5054348,0.32608697,0.41847825,0.26630434,0.51086956,0.22826087,0.59782606,0.29891303,0.70108694,0.27173913,0.77717394,0.23913044,0.0,0.0,0.0,0.0,0.0,0.0,0.57608694,0.5869565,0.6032609,0.75,0.6413044,0.90217394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5652174,0.3206522,0.5217391,0.33695653,0.4347826,0.29347825,0.49456522,0.25,0.625,0.29347825,0.7282609,0.25,0.83152175,0.21195652,0.0,0.0,0.0,0.0,0.0,0.0,0.61413044,0.5869565,0.6413044,0.76086956,0.66847825,0.9076087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5597826,0.3152174,0.52717394,0.3206522,0.42391303,0.3043478,0.47826087,0.25543478,0.6086956,0.29891303,0.6956522,0.26630434,0.8097826,0.21195652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
